#logback.classic pattern: %d{HH:mm:ss} [%thread] %-5level %logger{0} - %msg%n
20:40:43 [main] INFO  Application - Указан стандартный пул потоков, executorType = 'STANDARD'
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task106 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task110 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task107 is completed.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task108 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task112 is started.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task111 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task109 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task113 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task110 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task114 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task112 is completed.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task111 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task115 is started.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task116 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task113 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task117 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task114 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task118 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task116 is completed.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task115 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task119 is started.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task120 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task117 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task121 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task118 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task122 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task120 is completed.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task119 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task124 is started.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task123 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task121 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task125 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task122 is completed.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task123 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task127 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task124 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task126 is started.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task128 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task125 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task129 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task127 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task130 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task128 is completed.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task126 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task131 is started.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task132 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task129 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task133 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task130 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task134 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task132 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task135 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task131 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task136 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task133 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task137 is started.
